"numberOfEachTrial";"n";"probType";"value";"values"
8;100;"logOdds";0.858977104211046;"base probability(log odds)"
8;100;"responses";0.489775928797433;"binomially distributed responses"
12;100;"logOdds";0.874400820642851;"base probability(log odds)"
12;100;"responses";0.562993785212114;"binomially distributed responses"
16;100;"logOdds";0.874163568863446;"base probability(log odds)"
16;100;"responses";0.605680415849152;"binomially distributed responses"
24;100;"logOdds";0.86681075460312;"base probability(log odds)"
24;100;"responses";0.656781269520116;"binomially distributed responses"
32;100;"logOdds";0.867197296506514;"base probability(log odds)"
32;100;"responses";0.695689435323825;"binomially distributed responses"
48;100;"logOdds";0.879897079726435;"base probability(log odds)"
48;100;"responses";0.742741157396562;"binomially distributed responses"
